cm-1,mV,cm-1,mV,cm-1,mV,cm-1,mV,cm-1,mV
1800,0.007184347,1800,0.009250641,1800,0.00799497,1800,0.009441376,1800,0.006437302
1798,0.005293442,1798,0.010457197,1798,0.009273837,1798,0.011702389,1798,0.00572106
1796,0.005514582,1796,0.012700275,1796,0.011445317,1796,0.013746602,1796,0.005628677
1794,0.005536714,1794,0.013712597,1794,0.013042445,1794,0.014012423,1794,0.005006853
1792,0.00604658,1792,0.016659392,1792,0.016685089,1792,0.019295324,1792,0.005946086
1790,0.00513378,1790,0.022197602,1790,0.021222714,1790,0.025073096,1790,0.006024136
1788,0.006056326,1788,0.025794977,1788,0.02694181,1788,0.029886808,1788,0.005485022
1786,0.006382921,1786,0.030146727,1786,0.029043835,1786,0.033526205,1786,0.00614583
1784,0.006499137,1784,0.036682673,1784,0.034373142,1784,0.040742446,1784,0.007968851
1782,0.006828167,1782,0.03962912,1782,0.039479956,1782,0.04663958,1782,0.007627604
1780,0.007359711,1780,0.046023108,1780,0.045781113,1780,0.053517889,1780,0.009142572
1778,0.008389796,1778,0.052103747,1778,0.05103929,1778,0.058845609,1778,0.009628858
1776,0.007750941,1776,0.056385465,1776,0.055853933,1776,0.064617433,1776,0.009856317
1774,0.007383566,1774,0.053364553,1774,0.052544765,1774,0.063069418,1774,0.008974519
1772,0.0085485,1772,0.057162493,1772,0.056726757,1772,0.0671013,1772,0.009556669
1770,0.00758183,1770,0.059237558,1770,0.058092199,1770,0.070191368,1770,0.009113899
1768,0.008257359,1768,0.060872294,1768,0.059545558,1768,0.070134424,1768,0.009279404
1766,0.00737383,1766,0.061603636,1766,0.060590956,1766,0.072566174,1766,0.009899204
1764,0.008278331,1764,0.063477285,1764,0.063737728,1764,0.075631581,1764,0.009047758
1762,0.008468476,1762,0.06601283,1762,0.066609733,1762,0.078915022,1762,0.009479826
1760,0.008475361,1760,0.066438556,1760,0.068078972,1760,0.082336813,1760,0.009884996
1758,0.008577089,1758,0.067752771,1758,0.071024641,1758,0.084329508,1758,0.009803764
1756,0.00823562,1756,0.070216268,1756,0.073592089,1756,0.087305114,1756,0.010089223
1754,0.008269611,1754,0.074165545,1754,0.075616881,1754,0.089880213,1754,0.010016252
1752,0.009030636,1752,0.075899333,1752,0.080333315,1752,0.095410883,1752,0.010931529
1750,0.008630515,1750,0.080477878,1750,0.083544455,1750,0.100179136,1750,0.010916959
1748,0.008801446,1748,0.08385244,1748,0.087623022,1748,0.103832327,1748,0.010354068
1746,0.009137352,1746,0.088472016,1746,0.092104308,1746,0.109710544,1746,0.011336429
1744,0.009595123,1744,0.093364537,1744,0.097363636,1744,0.116692625,1744,0.011173336
1742,0.009894108,1742,0.10113208,1742,0.105445482,1742,0.127202302,1742,0.012074012
1740,0.010800439,1740,0.111282952,1740,0.116471507,1740,0.139350653,1740,0.013406382
1738,0.010926722,1738,0.116259716,1738,0.118796743,1738,0.144353658,1738,0.013118785
1736,0.011637555,1736,0.12640807,1736,0.129093558,1736,0.157804638,1736,0.014563667
1734,0.011256429,1734,0.126064792,1734,0.130210042,1734,0.161324859,1734,0.014046314
1732,0.011703109,1732,0.129379183,1732,0.134706229,1732,0.164894551,1732,0.014521613
1730,0.011776123,1730,0.131809548,1730,0.136145279,1730,0.168744147,1730,0.014253707
1728,0.011955275,1728,0.133160144,1728,0.138029516,1728,0.17121394,1728,0.014395652
1726,0.011626251,1726,0.131835625,1726,0.140311137,1726,0.172272444,1726,0.014355469
1724,0.011486009,1724,0.131211564,1724,0.138859168,1724,0.170805201,1724,0.01439603
1722,0.010909654,1722,0.130197808,1722,0.138765484,1722,0.167601541,1722,0.013672693
1720,0.012236233,1720,0.140883252,1720,0.149598017,1720,0.179571629,1720,0.014933358
1718,0.01253732,1718,0.14751792,1718,0.155571133,1718,0.189034432,1718,0.015645918
1716,0.012618514,1716,0.149917126,1716,0.156846315,1716,0.189216375,1716,0.015569471
1714,0.012173399,1714,0.145308688,1714,0.150366813,1714,0.178168431,1714,0.015130258
